6,4,pa2-debug-e-EM-nav.txt
  352.34,   407.08,   421.84
  359.17,   427.95,   376.33
  366.07,   448.86,   330.77
  389.45,   395.60,   423.03
  396.57,   416.69,   377.70
  403.79,   438.00,   332.11
  303.68,   422.68,   493.44
  300.86,   437.85,   542.22
  297.64,   452.53,   591.61
  311.29,   384.47,   505.94
  308.81,   399.80,   554.38
  305.93,   414.75,   603.46
  330.45,   422.99,   507.67
  342.47,   451.95,   546.51
  353.76,   480.41,   585.52
  355.57,   441.21,   483.51
  367.42,   469.90,   521.98
  378.66,   498.18,   560.61
  395.88,   391.64,   545.98
  391.55,   380.13,   594.00
  387.60,   368.67,   641.82
  399.73,   429.76,   556.18
  395.03,   418.30,   604.84
  390.70,   406.91,   653.31
